Name;Team;Number;Position;Age;Height;Weight
Avery Bradley;Boston Celtics;0.0;PG;25.0;6-2;180.0
Jae Crowder;Boston Celtics;99.0;SF;25.0;6-6;235.0
John Holland;Boston Celtics;30.0;SG;27.0;6-5;205.0
R.J. Hunter;Boston Celtics;28.0;SG;22.0;6-5;185.0
Jonas Jerebko;Boston Celtics;8.0;PF;29.0;6-10;231.0
Amir Johnson;Boston Celtics;90.0;PF;29.0;6-9;240.0
Jordan Mickey;Boston Celtics;55.0;PF;21.0;6-8;235.0
Kelly Olynyk;Boston Celtics;41.0;C;25.0;7-0;238.0
Terry Rozier;Boston Celtics;12.0;PG;22.0;6-2;190.0
Marcus Smart;Boston Celtics;36.0;PG;22.0;6-4;220.0
Jared Sullinger;Boston Celtics;7.0;C;24.0;6-9;260.0
Isaiah Thomas;Boston Celtics;4.0;PG;27.0;5-9;185.0
Evan Turner;Boston Celtics;11.0;SG;27.0;6-7;220.0
James Young;Boston Celtics;13.0;SG;20.0;6-6;215.0
Tyler Zeller;Boston Celtics;44.0;C;26.0;7-0;253.0
Bojan Bogdanovic;Brooklyn Nets;44.0;SG;27.0;6-8;216.0
Markel Brown;Brooklyn Nets;22.0;SG;24.0;6-3;190.0
Wayne Ellington;Brooklyn Nets;21.0;SG;28.0;6-4;200.0
Rondae Hollis-Jefferson;Brooklyn Nets;24.0;SG;21.0;6-7;220.0
Jarrett Jack;Brooklyn Nets;2.0;PG;32.0;6-3;200.0
Sergey Karasev;Brooklyn Nets;10.0;SG;22.0;6-7;208.0
Sean Kilpatrick;Brooklyn Nets;6.0;SG;26.0;6-4;219.0
Shane Larkin;Brooklyn Nets;0.0;PG;23.0;5-11;175.0
Chris McCullough;Brooklyn Nets;1.0;PF;21.0;6-11;200.0
Willie Reed;Brooklyn Nets;33.0;PF;26.0;6-10;220.0
Thomas Robinson;Brooklyn Nets;41.0;PF;25.0;6-10;237.0
Henry Sims;Brooklyn Nets;14.0;C;26.0;6-10;248.0
Donald Sloan;Brooklyn Nets;15.0;PG;28.0;6-3;205.0
Thaddeus Young;Brooklyn Nets;30.0;PF;27.0;6-8;221.0
Arron Afflalo;New York Knicks;4.0;SG;30.0;6-5;210.0
Lou Amundson;New York Knicks;17.0;PF;33.0;6-9;220.0
Thanasis Antetokounmpo;New York Knicks;43.0;SF;23.0;6-7;205.0
Carmelo Anthony;New York Knicks;7.0;SF;32.0;6-8;240.0
Jose Calderon;New York Knicks;3.0;PG;34.0;6-3;200.0
Cleanthony Early;New York Knicks;11.0;SF;25.0;6-8;210.0
Langston Galloway;New York Knicks;2.0;SG;24.0;6-2;200.0
Jerian Grant;New York Knicks;13.0;PG;23.0;6-4;195.0
Robin Lopez;New York Knicks;8.0;C;28.0;7-0;255.0
Kyle O'Quinn;New York Knicks;9.0;PF;26.0;6-10;250.0
Kristaps Porzingis;New York Knicks;6.0;PF;20.0;7-3;240.0
Kevin Seraphin;New York Knicks;1.0;C;26.0;6-10;278.0
Lance Thomas;New York Knicks;42.0;SF;28.0;6-8;235.0
Derrick Williams;New York Knicks;23.0;PF;25.0;6-8;240.0
Tony Wroten;New York Knicks;5.0;SG;23.0;6-6;205.0
Elton Brand;Philadelphia 76ers;42.0;PF;37.0;6-9;254.0
Isaiah Canaan;Philadelphia 76ers;0.0;PG;25.0;6-0;201.0
Robert Covington;Philadelphia 76ers;33.0;SF;25.0;6-9;215.0
Joel Embiid;Philadelphia 76ers;21.0;C;22.0;7-0;250.0
Jerami Grant;Philadelphia 76ers;39.0;SF;22.0;6-8;210.0
Richaun Holmes;Philadelphia 76ers;22.0;PF;22.0;6-10;245.0
Carl Landry;Philadelphia 76ers;7.0;PF;32.0;6-9;248.0
Kendall Marshall;Philadelphia 76ers;5.0;PG;24.0;6-4;200.0
T.J. McConnell;Philadelphia 76ers;12.0;PG;24.0;6-2;200.0
Nerlens Noel;Philadelphia 76ers;4.0;PF;22.0;6-11;228.0
Jahlil Okafor;Philadelphia 76ers;8.0;C;20.0;6-11;275.0
Ish Smith;Philadelphia 76ers;1.0;PG;27.0;6-0;175.0
Hollis Thompson;Philadelphia 76ers;31.0;SG;25.0;6-8;206.0
Christian Wood;Philadelphia 76ers;35.0;PF;20.0;6-11;220.0
Bismack Biyombo;Toronto Raptors;8.0;C;23.0;6-9;245.0
Bruno Caboclo;Toronto Raptors;20.0;SF;20.0;6-9;205.0
DeMarre Carroll;Toronto Raptors;5.0;SF;29.0;6-8;212.0
DeMar DeRozan;Toronto Raptors;10.0;SG;26.0;6-7;220.0
James Johnson;Toronto Raptors;3.0;PF;29.0;6-9;250.0
Cory Joseph;Toronto Raptors;6.0;PG;24.0;6-3;190.0
Kyle Lowry;Toronto Raptors;7.0;PG;30.0;6-0;205.0
Lucas Nogueira;Toronto Raptors;92.0;C;23.0;7-0;220.0
Patrick Patterson;Toronto Raptors;54.0;PF;27.0;6-9;235.0
Norman Powell;Toronto Raptors;24.0;SG;23.0;6-4;215.0
Terrence Ross;Toronto Raptors;31.0;SF;25.0;6-7;195.0
Luis Scola;Toronto Raptors;4.0;PF;36.0;6-9;240.0
Jason Thompson;Toronto Raptors;1.0;PF;29.0;6-11;250.0
Jonas Valanciunas;Toronto Raptors;17.0;C;24.0;7-0;255.0
Delon Wright;Toronto Raptors;55.0;PG;24.0;6-5;190.0
Harrison Barnes;Golden State Warriors;40.0;SF;24.0;6-8;225.0
Andrew Bogut;Golden State Warriors;12.0;C;31.0;7-0;260.0
Ian Clark;Golden State Warriors;21.0;SG;25.0;6-3;175.0
Stephen Curry;Golden State Warriors;30.0;PG;28.0;6-3;190.0
Festus Ezeli;Golden State Warriors;31.0;C;26.0;6-11;265.0
Draymond Green;Golden State Warriors;23.0;PF;26.0;6-7;230.0
Andre Iguodala;Golden State Warriors;9.0;SF;32.0;6-6;215.0
Shaun Livingston;Golden State Warriors;34.0;PG;30.0;6-7;192.0
Kevon Looney;Golden State Warriors;36.0;SF;20.0;6-9;220.0
James Michael McAdoo;Golden State Warriors;20.0;SF;23.0;6-9;240.0
Brandon Rush;Golden State Warriors;4.0;SF;30.0;6-6;220.0
Marreese Speights;Golden State Warriors;5.0;C;28.0;6-10;255.0
Klay Thompson;Golden State Warriors;11.0;SG;26.0;6-7;215.0
Anderson Varejao;Golden State Warriors;18.0;PF;33.0;6-11;273.0
Cole Aldrich;Los Angeles Clippers;45.0;C;27.0;6-11;250.0
Jeff Ayres;Los Angeles Clippers;19.0;PF;29.0;6-9;250.0
Jamal Crawford;Los Angeles Clippers;11.0;SG;36.0;6-5;195.0
Branden Dawson;Los Angeles Clippers;22.0;SF;23.0;6-6;225.0
Jeff Green;Los Angeles Clippers;8.0;SF;29.0;6-9;235.0
Wesley Johnson;Los Angeles Clippers;33.0;SF;28.0;6-7;215.0
DeAndre Jordan;Los Angeles Clippers;6.0;C;27.0;6-11;265.0
Luc Richard Mbah a Moute;Los Angeles Clippers;12.0;PF;29.0;6-8;230.0
Chris Paul;Los Angeles Clippers;3.0;PG;31.0;6-0;175.0
Paul Pierce;Los Angeles Clippers;34.0;SF;38.0;6-7;235.0
Pablo Prigioni;Los Angeles Clippers;9.0;PG;39.0;6-3;185.0
JJ Redick;Los Angeles Clippers;4.0;SG;31.0;6-4;190.0
Austin Rivers;Los Angeles Clippers;25.0;PG;23.0;6-4;200.0
C.J. Wilcox;Los Angeles Clippers;30.0;SG;25.0;6-5;195.0
Brandon Bass;Los Angeles Lakers;2.0;PF;31.0;6-8;250.0
Tarik Black;Los Angeles Lakers;28.0;C;24.0;6-9;250.0
Anthony Brown;Los Angeles Lakers;3.0;SF;23.0;6-7;210.0
Kobe Bryant;Los Angeles Lakers;24.0;SF;37.0;6-6;212.0
Jordan Clarkson;Los Angeles Lakers;6.0;PG;24.0;6-5;194.0
Roy Hibbert;Los Angeles Lakers;17.0;C;29.0;7-2;270.0
Marcelo Huertas;Los Angeles Lakers;9.0;PG;33.0;6-3;200.0
Ryan Kelly;Los Angeles Lakers;4.0;PF;25.0;6-11;230.0
Julius Randle;Los Angeles Lakers;30.0;PF;21.0;6-9;250.0
D'Angelo Russell;Los Angeles Lakers;1.0;PG;20.0;6-5;195.0
Robert Sacre;Los Angeles Lakers;50.0;C;27.0;7-0;270.0
Louis Williams;Los Angeles Lakers;23.0;SG;29.0;6-1;175.0
Metta World Peace;Los Angeles Lakers;37.0;SF;36.0;6-7;260.0
Nick Young;Los Angeles Lakers;0.0;SF;31.0;6-7;210.0
Eric Bledsoe;Phoenix Suns;2.0;PG;26.0;6-1;190.0
Devin Booker;Phoenix Suns;1.0;SG;19.0;6-6;206.0
Chase Budinger;Phoenix Suns;10.0;SF;28.0;6-7;209.0
Tyson Chandler;Phoenix Suns;4.0;C;33.0;7-1;240.0
Archie Goodwin;Phoenix Suns;20.0;SG;21.0;6-5;200.0
John Jenkins;Phoenix Suns;23.0;SG;25.0;6-4;215.0
Brandon Knight;Phoenix Suns;3.0;PG;24.0;6-3;189.0
Alex Len;Phoenix Suns;21.0;C;22.0;7-1;260.0
Phil Pressey;Phoenix Suns;25.0;PG;25.0;5-11;175.0
Ronnie Price;Phoenix Suns;14.0;PG;32.0;6-2;190.0
Mirza Teletovic;Phoenix Suns;35.0;PF;30.0;6-9;242.0
P.J. Tucker;Phoenix Suns;17.0;SF;31.0;6-6;245.0
T.J. Warren;Phoenix Suns;12.0;SF;22.0;6-8;230.0
Alan Williams;Phoenix Suns;15.0;C;23.0;6-8;260.0
Quincy Acy;Sacramento Kings;13.0;SF;25.0;6-7;240.0
James Anderson;Sacramento Kings;5.0;SG;27.0;6-6;213.0
Marco Belinelli;Sacramento Kings;3.0;SG;30.0;6-5;210.0
Caron Butler;Sacramento Kings;31.0;SF;36.0;6-7;228.0
Omri Casspi;Sacramento Kings;18.0;SF;27.0;6-9;225.0
Willie Cauley-Stein;Sacramento Kings;0.0;C;22.0;7-0;240.0
Darren Collison;Sacramento Kings;7.0;PG;28.0;6-0;175.0
DeMarcus Cousins;Sacramento Kings;15.0;C;25.0;6-11;270.0
Seth Curry;Sacramento Kings;30.0;SG;25.0;6-2;185.0
Duje Dukan;Sacramento Kings;26.0;PF;24.0;6-9;220.0
Rudy Gay;Sacramento Kings;8.0;SF;29.0;6-8;230.0
Kosta Koufos;Sacramento Kings;41.0;C;27.0;7-0;265.0
Ben McLemore;Sacramento Kings;23.0;SG;23.0;6-5;195.0
Eric Moreland;Sacramento Kings;25.0;PF;24.0;6-10;238.0
Rajon Rondo;Sacramento Kings;9.0;PG;30.0;6-1;186.0
Aaron Brooks;Chicago Bulls;0.0;PG;31.0;6-0;161.0
Jimmy Butler;Chicago Bulls;21.0;SG;26.0;6-7;220.0
Mike Dunleavy;Chicago Bulls;34.0;SG;35.0;6-9;230.0
Cristiano Felicio;Chicago Bulls;6.0;PF;23.0;6-10;275.0
Pau Gasol;Chicago Bulls;16.0;C;35.0;7-0;250.0
Taj Gibson;Chicago Bulls;22.0;PF;30.0;6-9;225.0
Justin Holiday;Chicago Bulls;7.0;SG;27.0;6-6;185.0
Doug McDermott;Chicago Bulls;3.0;SF;24.0;6-8;225.0
Nikola Mirotic;Chicago Bulls;44.0;PF;25.0;6-10;220.0
E'Twaun Moore;Chicago Bulls;55.0;SG;27.0;6-4;191.0
Joakim Noah;Chicago Bulls;13.0;C;31.0;6-11;232.0
Bobby Portis;Chicago Bulls;5.0;PF;21.0;6-11;230.0
Derrick Rose;Chicago Bulls;1.0;PG;27.0;6-3;190.0
Tony Snell;Chicago Bulls;20.0;SF;24.0;6-7;200.0
Matthew Dellavedova;Cleveland Cavaliers;8.0;PG;25.0;6-4;198.0
Channing Frye;Cleveland Cavaliers;9.0;PF;33.0;6-11;255.0
LeBron James;Cleveland Cavaliers;23.0;SF;31.0;6-8;250.0
Richard Jefferson;Cleveland Cavaliers;24.0;SF;35.0;6-7;233.0
Dahntay Jones;Cleveland Cavaliers;30.0;SG;35.0;6-6;225.0
James Jones;Cleveland Cavaliers;1.0;SG;35.0;6-8;218.0
Sasha Kaun;Cleveland Cavaliers;14.0;C;31.0;6-11;260.0
Kevin Love;Cleveland Cavaliers;0.0;PF;27.0;6-10;251.0
Jordan McRae;Cleveland Cavaliers;12.0;SG;25.0;6-5;179.0
Timofey Mozgov;Cleveland Cavaliers;20.0;C;29.0;7-1;275.0
Iman Shumpert;Cleveland Cavaliers;4.0;SG;25.0;6-5;220.0
J.R. Smith;Cleveland Cavaliers;5.0;SG;30.0;6-6;225.0
Tristan Thompson;Cleveland Cavaliers;13.0;C;25.0;6-9;238.0
Mo Williams;Cleveland Cavaliers;52.0;PG;33.0;6-1;198.0
Joel Anthony;Detroit Pistons;50.0;C;33.0;6-9;245.0
Aron Baynes;Detroit Pistons;12.0;C;29.0;6-10;260.0
Lorenzo Brown;Detroit Pistons;17.0;PG;25.0;6-5;189.0
Reggie Bullock;Detroit Pistons;25.0;SF;25.0;6-7;205.0
Kentavious Caldwell-Pope;Detroit Pistons;5.0;SG;23.0;6-5;205.0
Spencer Dinwiddie;Detroit Pistons;8.0;PG;23.0;6-6;200.0
Andre Drummond;Detroit Pistons;0.0;C;22.0;6-11;279.0
Tobias Harris;Detroit Pistons;34.0;SF;23.0;6-9;235.0
Darrun Hilliard;Detroit Pistons;6.0;SF;23.0;6-6;205.0
Reggie Jackson;Detroit Pistons;1.0;PG;26.0;6-3;208.0
Stanley Johnson;Detroit Pistons;3.0;SF;20.0;6-7;245.0
Jodie Meeks;Detroit Pistons;20.0;SG;28.0;6-4;210.0
Marcus Morris;Detroit Pistons;13.0;PF;26.0;6-9;235.0
Anthony Tolliver;Detroit Pistons;43.0;PF;31.0;6-8;240.0
Rakeem Christmas;Indiana Pacers;25.0;PF;24.0;6-9;250.0
Monta Ellis;Indiana Pacers;11.0;SG;30.0;6-3;185.0
Paul George;Indiana Pacers;13.0;SF;26.0;6-9;220.0
George Hill;Indiana Pacers;3.0;PG;30.0;6-3;188.0
Jordan Hill;Indiana Pacers;27.0;C;28.0;6-10;235.0
Solomon Hill;Indiana Pacers;44.0;SF;25.0;6-7;225.0
Ty Lawson;Indiana Pacers;10.0;PG;28.0;5-11;195.0
Ian Mahinmi;Indiana Pacers;28.0;C;29.0;6-11;250.0
C.J. Miles;Indiana Pacers;0.0;SF;29.0;6-6;231.0
Glenn Robinson III;Indiana Pacers;40.0;SG;22.0;6-7;222.0
Rodney Stuckey;Indiana Pacers;2.0;PG;30.0;6-5;205.0
Myles Turner;Indiana Pacers;33.0;PF;20.0;6-11;243.0
Shayne Whittington;Indiana Pacers;42.0;PF;25.0;6-11;250.0
Giannis Antetokounmpo;Milwaukee Bucks;34.0;SF;21.0;6-11;222.0
Jerryd Bayless;Milwaukee Bucks;19.0;PG;27.0;6-3;200.0
Michael Carter-Williams;Milwaukee Bucks;5.0;PG;24.0;6-6;190.0
Jared Cunningham;Milwaukee Bucks;9.0;SG;25.0;6-4;195.0
Tyler Ennis;Milwaukee Bucks;11.0;PG;21.0;6-3;194.0
John Henson;Milwaukee Bucks;31.0;PF;25.0;6-11;229.0
Damien Inglis;Milwaukee Bucks;17.0;SF;21.0;6-8;246.0
O.J. Mayo;Milwaukee Bucks;3.0;SG;28.0;6-5;210.0
Khris Middleton;Milwaukee Bucks;22.0;SG;24.0;6-8;234.0
Greg Monroe;Milwaukee Bucks;15.0;C;26.0;6-11;265.0
Steve Novak;Milwaukee Bucks;6.0;SF;32.0;6-10;225.0
Johnny O'Bryant III;Milwaukee Bucks;77.0;PF;23.0;6-9;257.0
Jabari Parker;Milwaukee Bucks;12.0;PF;21.0;6-8;250.0
Miles Plumlee;Milwaukee Bucks;18.0;C;27.0;6-11;249.0
Greivis Vasquez;Milwaukee Bucks;21.0;PG;29.0;6-6;217.0
Rashad Vaughn;Milwaukee Bucks;20.0;SG;19.0;6-6;202.0
J.J. Barea;Dallas Mavericks;5.0;PG;31.0;6-0;185.0
