Name;Team;Number;Position;Age;Height;Weight
Jeremy Evans;Dallas Mavericks;21.0;SF;28.0;6-9;200.0
Raymond Felton;Dallas Mavericks;2.0;PG;31.0;6-1;205.0
Devin Harris;Dallas Mavericks;34.0;PG;33.0;6-3;185.0
David Lee;Dallas Mavericks;42.0;PF;33.0;6-9;245.0
Wesley Matthews;Dallas Mavericks;23.0;SG;29.0;6-5;220.0
JaVale McGee;Dallas Mavericks;11.0;C;28.0;7-0;270.0
Salah Mejri;Dallas Mavericks;50.0;C;29.0;7-2;245.0
Dirk Nowitzki;Dallas Mavericks;41.0;PF;37.0;7-0;245.0
Zaza Pachulia;Dallas Mavericks;27.0;C;32.0;6-11;275.0
Chandler Parsons;Dallas Mavericks;25.0;SF;27.0;6-10;230.0
Dwight Powell;Dallas Mavericks;7.0;PF;24.0;6-11;240.0
Charlie Villanueva;Dallas Mavericks;3.0;PF;31.0;6-11;232.0
Deron Williams;Dallas Mavericks;8.0;PG;31.0;6-3;200.0
Trevor Ariza;Houston Rockets;1.0;SF;30.0;6-8;215.0
Michael Beasley;Houston Rockets;8.0;SF;27.0;6-10;235.0
Patrick Beverley;Houston Rockets;2.0;PG;27.0;6-1;185.0
Corey Brewer;Houston Rockets;33.0;SG;30.0;6-9;186.0
Sam Dekker;Houston Rockets;7.0;SF;22.0;6-9;230.0
Andrew Goudelock;Houston Rockets;0.0;PG;27.0;6-3;200.0
James Harden;Houston Rockets;13.0;SG;26.0;6-5;220.0
Montrezl Harrell;Houston Rockets;35.0;PF;22.0;6-8;240.0
Dwight Howard;Houston Rockets;12.0;C;30.0;6-11;265.0
Terrence Jones;Houston Rockets;6.0;PF;24.0;6-9;252.0
K.J. McDaniels;Houston Rockets;32.0;SG;23.0;6-6;205.0
Donatas Motiejunas;Houston Rockets;20.0;PF;25.0;7-0;222.0
Josh Smith;Houston Rockets;5.0;C;30.0;6-9;225.0
Jason Terry;Houston Rockets;31.0;SG;38.0;6-2;185.0
Jordan Adams;Memphis Grizzlies;3.0;SG;21.0;6-5;209.0
Tony Allen;Memphis Grizzlies;9.0;SG;34.0;6-4;213.0
Chris Andersen;Memphis Grizzlies;7.0;PF;37.0;6-10;245.0
Matt Barnes;Memphis Grizzlies;22.0;SF;36.0;6-7;226.0
Mike Conley;Memphis Grizzlies;11.0;PG;28.0;6-1;175.0
Bryce Cotton;Memphis Grizzlies;8.0;PG;23.0;6-1;165.0
Jordan Farmar;Memphis Grizzlies;4.0;PG;29.0;6-2;180.0
Marc Gasol;Memphis Grizzlies;33.0;C;31.0;7-1;255.0
JaMychal Green;Memphis Grizzlies;0.0;PF;25.0;6-9;227.0
P.J. Hairston;Memphis Grizzlies;19.0;SF;23.0;6-6;230.0
Jarell Martin;Memphis Grizzlies;10.0;PF;22.0;6-10;239.0
Ray McCallum;Memphis Grizzlies;5.0;PG;24.0;6-3;190.0
Xavier Munford;Memphis Grizzlies;14.0;PG;24.0;6-3;180.0
Zach Randolph;Memphis Grizzlies;50.0;PF;34.0;6-9;260.0
Lance Stephenson;Memphis Grizzlies;1.0;SF;25.0;6-5;230.0
Alex Stepheson;Memphis Grizzlies;35.0;PF;28.0;6-10;270.0
Brandan Wright;Memphis Grizzlies;34.0;PF;28.0;6-10;210.0
Alexis Ajinca;New Orleans Pelicans;42.0;C;28.0;7-2;248.0
Ryan Anderson;New Orleans Pelicans;33.0;PF;28.0;6-10;240.0
Omer Asik;New Orleans Pelicans;3.0;C;29.0;7-0;255.0
Norris Cole;New Orleans Pelicans;30.0;PG;27.0;6-2;175.0
Dante Cunningham;New Orleans Pelicans;44.0;PF;29.0;6-8;230.0
Anthony Davis;New Orleans Pelicans;23.0;PF;23.0;6-10;253.0
Bryce Dejean-Jones;New Orleans Pelicans;31.0;SG;23.0;6-6;203.0
Toney Douglas;New Orleans Pelicans;16.0;PG;30.0;6-2;195.0
James Ennis;New Orleans Pelicans;4.0;SF;25.0;6-7;210.0
Tyreke Evans;New Orleans Pelicans;1.0;SG;26.0;6-6;220.0
Tim Frazier;New Orleans Pelicans;2.0;PG;25.0;6-1;170.0
Alonzo Gee;New Orleans Pelicans;15.0;SF;29.0;6-6;225.0
Eric Gordon;New Orleans Pelicans;10.0;SG;27.0;6-4;215.0
Jordan Hamilton;New Orleans Pelicans;25.0;SG;25.0;6-7;220.0
Jrue Holiday;New Orleans Pelicans;11.0;PG;25.0;6-4;205.0
Orlando Johnson;New Orleans Pelicans;0.0;SG;27.0;6-5;220.0
Kendrick Perkins;New Orleans Pelicans;5.0;C;31.0;6-10;270.0
Quincy Pondexter;New Orleans Pelicans;20.0;SF;28.0;6-7;220.0
LaMarcus Aldridge;San Antonio Spurs;12.0;PF;30.0;6-11;240.0
Kyle Anderson;San Antonio Spurs;1.0;SF;22.0;6-9;230.0
Matt Bonner;San Antonio Spurs;15.0;C;36.0;6-10;235.0
Boris Diaw;San Antonio Spurs;33.0;C;34.0;6-8;250.0
Tim Duncan;San Antonio Spurs;21.0;C;40.0;6-11;250.0
Manu Ginobili;San Antonio Spurs;20.0;SG;38.0;6-6;205.0
Danny Green;San Antonio Spurs;14.0;SG;28.0;6-6;215.0
Kawhi Leonard;San Antonio Spurs;2.0;SF;24.0;6-7;230.0
Kevin Martin;San Antonio Spurs;23.0;SG;33.0;6-7;199.0
Andre Miller;San Antonio Spurs;24.0;PG;40.0;6-3;200.0
Patty Mills;San Antonio Spurs;8.0;PG;27.0;6-0;185.0
Tony Parker;San Antonio Spurs;9.0;PG;34.0;6-2;185.0
Jonathon Simmons;San Antonio Spurs;17.0;SG;26.0;6-6;195.0
David West;San Antonio Spurs;30.0;PF;35.0;6-9;250.0
Kent Bazemore;Atlanta Hawks;24.0;SF;26.0;6-5;201.0
Tim Hardaway Jr.;Atlanta Hawks;10.0;SG;24.0;6-6;205.0
Kirk Hinrich;Atlanta Hawks;12.0;SG;35.0;6-4;190.0
Al Horford;Atlanta Hawks;15.0;C;30.0;6-10;245.0
Kris Humphries;Atlanta Hawks;43.0;PF;31.0;6-9;235.0
Kyle Korver;Atlanta Hawks;26.0;SG;35.0;6-7;212.0
Paul Millsap;Atlanta Hawks;4.0;PF;31.0;6-8;246.0
Mike Muscala;Atlanta Hawks;31.0;PF;24.0;6-11;240.0
Lamar Patterson;Atlanta Hawks;13.0;SG;24.0;6-5;225.0
Dennis Schroder;Atlanta Hawks;17.0;PG;22.0;6-1;172.0
Mike Scott;Atlanta Hawks;32.0;PF;27.0;6-8;237.0
Thabo Sefolosha;Atlanta Hawks;25.0;SF;32.0;6-7;220.0
Tiago Splitter;Atlanta Hawks;11.0;C;31.0;6-11;245.0
Walter Tavares;Atlanta Hawks;22.0;C;24.0;7-3;260.0
Jeff Teague;Atlanta Hawks;0.0;PG;27.0;6-2;186.0
Nicolas Batum;Charlotte Hornets;5.0;SG;27.0;6-8;200.0
Troy Daniels;Charlotte Hornets;30.0;SG;24.0;6-4;205.0
Tyler Hansbrough;Charlotte Hornets;50.0;PF;30.0;6-9;250.0
Aaron Harrison;Charlotte Hornets;9.0;SG;21.0;6-6;210.0
Spencer Hawes;Charlotte Hornets;0.0;PF;28.0;7-1;245.0
Al Jefferson;Charlotte Hornets;25.0;C;31.0;6-10;289.0
Frank Kaminsky III;Charlotte Hornets;44.0;C;23.0;7-0;240.0
Michael Kidd-Gilchrist;Charlotte Hornets;14.0;SF;22.0;6-7;232.0
Jeremy Lamb;Charlotte Hornets;3.0;SG;24.0;6-5;185.0
Courtney Lee;Charlotte Hornets;1.0;SG;30.0;6-5;200.0
Jeremy Lin;Charlotte Hornets;7.0;PG;27.0;6-3;200.0
Kemba Walker;Charlotte Hornets;15.0;PG;26.0;6-1;184.0
Marvin Williams;Charlotte Hornets;2.0;PF;29.0;6-9;237.0
Cody Zeller;Charlotte Hornets;40.0;C;23.0;7-0;240.0
Chris Bosh;Miami Heat;1.0;PF;32.0;6-11;235.0
Luol Deng;Miami Heat;9.0;SF;31.0;6-9;220.0
Goran Dragic;Miami Heat;7.0;PG;30.0;6-3;190.0
Gerald Green;Miami Heat;14.0;SF;30.0;6-7;205.0
Udonis Haslem;Miami Heat;40.0;PF;36.0;6-8;235.0
Joe Johnson;Miami Heat;2.0;SF;34.0;6-7;240.0
Tyler Johnson;Miami Heat;8.0;SG;24.0;6-4;186.0
Josh McRoberts;Miami Heat;4.0;PF;29.0;6-10;240.0
Josh Richardson;Miami Heat;0.0;SG;22.0;6-6;200.0
Dwyane Wade;Miami Heat;3.0;SG;34.0;6-4;220.0
Briante Weber;Miami Heat;12.0;PG;23.0;6-2;165.0
Hassan Whiteside;Miami Heat;21.0;C;26.0;7-0;265.0
Justise Winslow;Miami Heat;20.0;SF;20.0;6-7;225.0
Dorell Wright;Miami Heat;11.0;SF;30.0;6-9;205.0
Dewayne Dedmon;Orlando Magic;3.0;C;26.0;7-0;245.0
Evan Fournier;Orlando Magic;10.0;SG;23.0;6-7;205.0
Aaron Gordon;Orlando Magic;0.0;PF;20.0;6-9;220.0
Mario Hezonja;Orlando Magic;23.0;SG;21.0;6-8;218.0
Ersan Ilyasova;Orlando Magic;7.0;PF;29.0;6-10;235.0
Brandon Jennings;Orlando Magic;55.0;PG;26.0;6-1;169.0
Devyn Marble;Orlando Magic;11.0;SF;23.0;6-6;200.0
Shabazz Napier;Orlando Magic;13.0;PG;24.0;6-1;175.0
Andrew Nicholson;Orlando Magic;44.0;PF;26.0;6-9;250.0
Victor Oladipo;Orlando Magic;5.0;SG;24.0;6-4;210.0
Elfrid Payton;Orlando Magic;4.0;PG;22.0;6-4;185.0
Jason Smith;Orlando Magic;14.0;PF;30.0;7-0;240.0
Nikola Vucevic;Orlando Magic;9.0;C;25.0;7-0;260.0
C.J. Watson;Orlando Magic;32.0;PG;32.0;6-2;175.0
Alan Anderson;Washington Wizards;6.0;SG;33.0;6-6;220.0
Bradley Beal;Washington Wizards;3.0;SG;22.0;6-5;207.0
Jared Dudley;Washington Wizards;1.0;SF;30.0;6-7;225.0
Jarell Eddie;Washington Wizards;8.0;SG;24.0;6-7;218.0
Drew Gooden;Washington Wizards;90.0;PF;34.0;6-10;250.0
Marcin Gortat;Washington Wizards;13.0;C;32.0;6-11;240.0
Nene Hilario;Washington Wizards;42.0;C;33.0;6-11;250.0
Markieff Morris;Washington Wizards;5.0;PF;26.0;6-10;245.0
Kelly Oubre Jr.;Washington Wizards;12.0;SF;20.0;6-7;205.0
Otto Porter Jr.;Washington Wizards;22.0;SF;23.0;6-8;198.0
Ramon Sessions;Washington Wizards;7.0;PG;30.0;6-3;190.0
Garrett Temple;Washington Wizards;17.0;SG;30.0;6-6;195.0
Marcus Thornton;Washington Wizards;15.0;SF;29.0;6-4;205.0
John Wall;Washington Wizards;2.0;PG;25.0;6-4;195.0
Darrell Arthur;Denver Nuggets;0.0;PF;28.0;6-9;235.0
D.J. Augustin;Denver Nuggets;12.0;PG;28.0;6-0;183.0
Will Barton;Denver Nuggets;5.0;SF;25.0;6-6;175.0
Wilson Chandler;Denver Nuggets;21.0;SF;29.0;6-8;225.0
Kenneth Faried;Denver Nuggets;35.0;PF;26.0;6-8;228.0
Danilo Gallinari;Denver Nuggets;8.0;SF;27.0;6-10;225.0
Gary Harris;Denver Nuggets;14.0;SG;21.0;6-4;210.0
Nikola Jokic;Denver Nuggets;15.0;C;21.0;6-10;250.0
Joffrey Lauvergne;Denver Nuggets;77.0;C;24.0;6-11;220.0
Mike Miller;Denver Nuggets;3.0;SG;36.0;6-8;218.0
Emmanuel Mudiay;Denver Nuggets;0.0;PG;20.0;6-5;200.0
Jameer Nelson;Denver Nuggets;1.0;PG;34.0;6-0;190.0
Jusuf Nurkic;Denver Nuggets;23.0;C;21.0;7-0;280.0
JaKarr Sampson;Denver Nuggets;9.0;SG;23.0;6-9;214.0
Axel Toupane;Denver Nuggets;6.0;SG;23.0;6-7;210.0
Gorgui Dieng;Minnesota Timberwolves;5.0;C;26.0;6-11;241.0
Kevin Garnett;Minnesota Timberwolves;21.0;PF;40.0;6-11;240.0
Tyus Jones;Minnesota Timberwolves;1.0;PG;20.0;6-2;195.0
Zach LaVine;Minnesota Timberwolves;8.0;PG;21.0;6-5;189.0
Shabazz Muhammad;Minnesota Timberwolves;15.0;SF;23.0;6-6;223.0
Adreian Payne;Minnesota Timberwolves;33.0;PF;25.0;6-10;237.0
Nikola Pekovic;Minnesota Timberwolves;14.0;C;30.0;6-11;307.0
Tayshaun Prince;Minnesota Timberwolves;12.0;SF;36.0;6-9;212.0
Ricky Rubio;Minnesota Timberwolves;9.0;PG;25.0;6-4;194.0
Damjan Rudez;Minnesota Timberwolves;10.0;SF;29.0;6-9;230.0
Greg Smith;Minnesota Timberwolves;4.0;PF;25.0;6-10;250.0
Karl-Anthony Towns;Minnesota Timberwolves;32.0;C;20.0;7-0;244.0
Andrew Wiggins;Minnesota Timberwolves;22.0;SG;21.0;6-8;199.0
Steven Adams;Oklahoma City Thunder;12.0;C;22.0;7-0;255.0
Nick Collison;Oklahoma City Thunder;4.0;PF;35.0;6-10;255.0
Kevin Durant;Oklahoma City Thunder;35.0;SF;27.0;6-9;240.0
Randy Foye;Oklahoma City Thunder;6.0;SG;32.0;6-4;213.0
Josh Huestis;Oklahoma City Thunder;34.0;SF;24.0;6-7;230.0
Serge Ibaka;Oklahoma City Thunder;9.0;PF;26.0;6-10;245.0
Enes Kanter;Oklahoma City Thunder;11.0;C;24.0;6-11;245.0
Mitch McGary;Oklahoma City Thunder;33.0;PF;24.0;6-10;255.0
Nazr Mohammed;Oklahoma City Thunder;13.0;C;38.0;6-10;250.0
Anthony Morrow;Oklahoma City Thunder;2.0;SG;30.0;6-5;210.0
Cameron Payne;Oklahoma City Thunder;22.0;PG;21.0;6-3;185.0
Andre Roberson;Oklahoma City Thunder;21.0;SG;24.0;6-7;210.0
Kyle Singler;Oklahoma City Thunder;5.0;SF;28.0;6-8;228.0
Russell Westbrook;Oklahoma City Thunder;0.0;PG;27.0;6-3;200.0
Cliff Alexander;Portland Trail Blazers;34.0;PF;20.0;6-8;240.0
Al-Farouq Aminu;Portland Trail Blazers;8.0;SF;25.0;6-9;215.0
Pat Connaughton;Portland Trail Blazers;5.0;SG;23.0;6-5;206.0
Allen Crabbe;Portland Trail Blazers;23.0;SG;24.0;6-6;210.0
Ed Davis;Portland Trail Blazers;17.0;C;27.0;6-10;240.0
Maurice Harkless;Portland Trail Blazers;4.0;SF;23.0;6-9;215.0
Gerald Henderson;Portland Trail Blazers;9.0;SG;28.0;6-5;215.0
Chris Kaman;Portland Trail Blazers;35.0;C;34.0;7-0;265.0
Meyers Leonard;Portland Trail Blazers;11.0;PF;24.0;7-1;245.0
Damian Lillard;Portland Trail Blazers;0.0;PG;25.0;6-3;195.0
C.J. McCollum;Portland Trail Blazers;3.0;SG;24.0;6-4;200.0
Luis Montero;Portland Trail Blazers;44.0;SG;23.0;6-7;185.0
Mason Plumlee;Portland Trail Blazers;24.0;C;26.0;6-11;235.0
Brian Roberts;Portland Trail Blazers;2.0;PG;30.0;6-1;173.0
Noah Vonleh;Portland Trail Blazers;21.0;PF;20.0;6-9;240.0
Trevor Booker;Utah Jazz;33.0;PF;28.0;6-8;228.0
Trey Burke;Utah Jazz;3.0;PG;23.0;6-1;191.0
Alec Burks;Utah Jazz;10.0;SG;24.0;6-6;214.0
Dante Exum;Utah Jazz;11.0;PG;20.0;6-6;190.0
Derrick Favors;Utah Jazz;15.0;PF;24.0;6-10;265.0
Rudy Gobert;Utah Jazz;27.0;C;23.0;7-1;245.0
Rodney Hood;Utah Jazz;5.0;SG;23.0;6-8;206.0
Joe Ingles;Utah Jazz;2.0;SF;28.0;6-8;226.0
Chris Johnson;Utah Jazz;23.0;SF;26.0;6-6;206.0
Trey Lyles;Utah Jazz;41.0;PF;20.0;6-10;234.0
Shelvin Mack;Utah Jazz;8.0;PG;26.0;6-3;203.0
Raul Neto;Utah Jazz;25.0;PG;24.0;6-1;179.0
Tibor Pleiss;Utah Jazz;21.0;C;26.0;7-3;256.0